borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
1,Marui Group Co Ltd,,Japan,Consumer Discretionary,Marui Group Co Ltd,,,
2,Rugao Economic & Trade Development Co,,China,Real Estate,Rugao Economic & Trade Development Co,,,
3,Magnum Corp Sdn Bhd,,Malaysia,Consumer Discretionary,Magnum Bhd,,,
4,Xi'an Aerospace High-Tech Industry Development Group Co Ltd,,China,Real Estate,Xi'an Aerospace High-Tech Industry Development Group Co Ltd,,,
5,Xi'an Weiyang Urban Construction Group Co Ltd,,China,Real Estate,Xi'an Weiyang Urban Construction Group Co Ltd,,,
6,Sunny Optical Technology (Group) Co Ltd,,China,Consumer Discretionary,Sunny Optical Technology (Group) Co Ltd,,,
7,Airport Authority of Hong Kong,,Hong Kong,Industrials,Airport Authority of Hong Kong,,,
8,Huzhou Wuxing City Investment Development Group Co Ltd,,China,Industrials,Huzhou Wuxing City Investment Development Group Co Ltd,,,
9,Bangkok Mass Transit Authority,,Thailand,Industrials,Bangkok Mass Transit Authority,,,
10,Joy Delight International Ltd,,China,Real Estate,Yuexiu Property Co Ltd,,,
11,Shaoxing Shangyu Hangzhou Bay Economic Development Zone Holding Group Co Ltd,,China,Industrials,Shaoxing Shangyu Hangzhou Bay Economic Development Zone Holding Group Co Ltd,,,
12,Chengdu Sino French Ecological Park Investment Development Co Ltd,,China,Industrials,Chengdu Economic Development Industry Investment Group Co Ltd,,,
13,Lotte Engineering & Construction Co Ltd,,South Korea,Industrials,Lotte Engineering & Construction Co Ltd,,,
14,Hyundai Capital Services Inc,,South Korea,Financials,Hyundai Motor Co,,,
15,Hyundai Commercial Inc,,South Korea,Financials,Hyundai Motor Co,,,
16,Chongqing Bazhou Cultural Tourism Industry Group Co Ltd,,China,Industrials,Chongqing Bazhou Cultural Tourism Industry Group Co Ltd,,,
17,Projek Lebuhraya Usahasama Bhd,,Malaysia,Industrials,Khazanah Nasional Bhd,,,
18,Foshan Gaoming Construction Investment Group Co Ltd,,China,Industrials,Foshan Gaoming Construction Investment Group Co Ltd,,,
19,Hanjiang Guotou Group Co Ltd,,China,Industrials,Hanjiang Guotou Group Co Ltd,,,
20,China Enterprise Co Ltd,,China,Real Estate,Shanghai Land (Group) Co Ltd,,,
21,Yili Caitong State Owned Assets Management Co Ltd,,China,Consumer Staples,Yili Caitong State Owned Assets Management Co Ltd,,,
22,Nanjing Tourism Group Co Ltd,,China,Consumer Discretionary,Nanjing City Construction Investment Holding Co Ltd,,,
23,Zhoukou Urban Construction Investment Development Co Ltd,,China,Industrials,Zhoukou Urban Construction Investment Development Co Ltd,,,
24,Anqing Development Zone Construction & Investment Co Ltd,,China,Real Estate,Anqing Development Zone Construction & Investment Co Ltd,,,
25,Shanghai Urban Development (Holdings) Co Ltd,,China,Real Estate,Shanghai Industrial Investment (Holdings) Co Ltd,,,
26,Taizhou City Construction & Investment Group Co Ltd,,China,Industrials,Taizhou City Construction & Investment Group Co Ltd,,,
27,Jinan City Investment Group Co Ltd,,China,Industrials,Jinan City Investment Group Co Ltd,,,
28,Suzhou SND Group Co Ltd,,China,Real Estate,Suzhou SND Group Co Ltd,,,
29,Henan Transport Investment Group Co Ltd,,China,Industrials,Henan Transport Investment Group Co Ltd,,,
30,Fujian Zhanglong Group Co Ltd,,China,Consumer Discretionary,Fujian Zhanglong Group Co Ltd,,,
31,Quanzhou Urban Construction Group Co Ltd,,China,Real Estate,Quanzhou Urban Construction Group Co Ltd,,,
32,Wanda Properties Global Co Ltd,,China,Real Estate,Dalian Hexing Investment Co Ltd,,,
33,HongKong Xiangyu Investment Co Ltd,,China,noinfo,Xiamen Xiangyu Group Corp,,,
34,Yiyang Heshan District Development Group Co Ltd,,China,Health Care,Yiyang Heshan District Development Group Co Ltd,,,
35,Wenzhou Mingcheng Construction Investment Group Co Ltd,,China,Industrials,Wenzhou Urban Construction Development Group Co Ltd,,,
36,Changxing Cultural Tourism Development Group Co Ltd,,China,Industrials,Changxing Cultural Tourism Development Group Co Ltd,,,
37,Taishan City Investment Co Ltd,,China,Industrials,Taian City Development & Investment Co Ltd,,,
38,TEPCO Power Grid Inc,,Japan,Utilities,Nuclear Damage Compensation & Decommissioning Facilitation Corp,,,
39,NEXCO East,,Japan,Industrials,NEXCO East,,,
40,Golden Dragon Mountain Trading (BVI) Co Ltd,,China,Real Estate,Jinan Zhangqiu Holding Group Co Ltd,,,
41,Shaoxing Paojiang Venture Construction Development Co Ltd,,China,Industrials,Shaoxing Paojiang Industrial Zone Investment & Development Co Ltd,,,
42,East Japan Railway Co,,Japan,Industrials,East Japan Railway Co,,,
43,Poly Property Group Co Ltd,,China,Real Estate,Poly Property Group Co Ltd,,,
44,Luzhou Xinglu Investment Group Co Ltd,,China,noinfo,Luzhou Xinglu Investment Group Co Ltd,,,
45,Nanan Energy Industry & Trade Investment Development Group Co Ltd,,China,Consumer Discretionary,Nanan Energy Industry & Trade Investment Development Group Co Ltd,,,
46,Nanchang Rail Transit Group Corp Ltd,,China,Industrials,Nanchang Rail Transit Group Corp Ltd,,,
47,Nanchang Jinkai Group Co Ltd,,China,Real Estate,Nanchang Jinkai Group Co Ltd,,,
48,Hunan Nanxun Transportation & Water Conservancy Investment Construction Group Co Ltd,,China,Materials,Hunan Nanxun Transportation & Water Conservancy Investment Construction Group Co Ltd,,,
49,Nantong Economic & Technology Development Area Group Co Ltd,,China,Industrials,Nantong Economic & Technology Development Area Group Co Ltd,,,
50,Nanping Wuyi Group Co Ltd,,China,Industrials,Nanping Wuyi Group Co Ltd,,,
51,Suzhou Wuzhong City Construction Development Co Ltd,,China,Industrials,Suzhou Wuzhong City Construction Development Co Ltd,,,
52,Qingdao Conson Development (Group) Co Ltd,,China,noinfo,Qingdao Conson Development (Group) Co Ltd,,,
53,Dalian Port Corp Ltd,,China,Industrials,China Merchants Group Ltd,,,
54,Shanghai Fengxian Development (Group) Co Ltd,,China,Industrials,Shanghai Fengxian Development (Group) Co Ltd,,,
55,Yichang High-tech Investment Development Co Ltd,,China,Industrials,Yichang High-tech Investment Development Co Ltd,,,
56,Suzhou City Construction Investment Group (Holdings) Co Ltd,,China,Real Estate,Suzhou City Construction Investment Group (Holdings) Co Ltd,,,
57,Guangzhou Hi-Tech Investment Group Co Ltd,,China,noinfo,Guangzhou Hi-Tech Investment Group Co Ltd,,,
58,Jianan Investment Holding Group Co Ltd,,China,Real Estate,Jianan Investment Holding Group Co Ltd,,,
59,Xuzhou Economic & Technology Development Zone State-Owned Assets Management Co Ltd,,China,Real Estate,Xuzhou Economic & Technology Development Zone State-Owned Assets Management Co Ltd,,,
60,Xiamen Siming State-Owned Holdings Group Co Ltd,,China,Real Estate,Xiamen Siming State-Owned Holdings Group Co Ltd,,,
61,Wuxi Xinfa Group Co Ltd,,China,Real Estate,Wuxi Xinfa Group Co Ltd,,,
62,Fujian Jinjiang Industrial Development Investment Group Co Ltd,,China,Utilities,Fujian Jinjiang Industrial Development Investment Group Co Ltd,,,
63,Shaoxing Keqiao District State Owned Assets Investment Management Co Ltd,,China,Real Estate,Shaoxing Keqiao District State Owned Assets Investment Management Co Ltd,,,
64,Wuhan Chedu Corp Ltd,,China,Industrials,Wuhan Chedu Corp Ltd,,,
65,Jiangsu Wujin Economic Development Group Co Ltd,,China,Industrials,Jiangsu Wujin Economic Development Group Co Ltd,,,
66,Jiangdong Holding Group Co Ltd,,China,Consumer Discretionary,Jiangdong Holding Group Co Ltd,,,
67,Nanjing Jiangbei New District New & High Industry Investment Group Co Ltd,,China,Real Estate,Nanjing Yangzi State-owned Investment Group Co Ltd,,,
68,Quanzhou Taishang Investment Zone Development & Investment Co Ltd,,China,Industrials,Quanzhou Taishang Investment Zone Development & Investment Co Ltd,,,
69,Luoyang Urban & Rural Construction Investment Group Co Ltd,,China,Industrials,Luoyang Urban & Rural Construction Investment Group Co Ltd,,,
70,Tianjin Infrastructure Construction & Investment Group Co Ltd,,China,Industrials,Tianjin Infrastructure Construction & Investment Group Co Ltd,,,
71,Haian Urban Relocation Reconstruction Co Ltd,,China,Industrials,Haian Urban Relocation Reconstruction Co Ltd,,,
72,Ningbo Haishu Guangju Asset Management Co Ltd,,China,Industrials,Ningbo Haishu Guangju Asset Management Co Ltd,,,
73,Huaibei City Construction Investment Holding Group Co Ltd,,China,Industrials,Huaibei City Construction Investment Holding Group Co Ltd,,,
74,Chongqing Jiangbeizui Central Business District Investment Group Co Ltd,,China,Industrials,Chongqing Jiangbeizui Central Business District Investment Group Co Ltd,,,
75,Shenzhen SEZ Construction Group Co Ltd,,China,Industrials,Shenzhen SEZ Construction Group Co Ltd,,,
76,Shanghai Shendi Group Co Ltd,,China,Consumer Discretionary,Shanghai Shendi Group Co Ltd,,,
77,Fujian Zhangzhou City Investment Group Co Ltd,,China,Real Estate,Fujian Zhangzhou City Investment Group Co Ltd,,,
78,Guangzhou Communication Investment Group Co Ltd,,China,Industrials,Guangzhou Communication Investment Group Co Ltd,,,
79,Shaoxing Cultural Tourism Group Co Ltd,,China,Health Care,Shaoxing Communications Investment Group Co Ltd,,,
80,Wuhu Economic & Technological Development Area Construction Investment Co,,China,Real Estate,Wuhu Economic & Technological Development Area Construction Investment Co,,,
81,Hubei Jingmen Urban Construction Group Co Ltd,,China,Industrials,Hubei Jingmen Urban Construction Group Co Ltd,,,
82,Xian International Port Investment Development Group Co Ltd,,China,Industrials,Xian International Port Investment Development Group Co Ltd,,,
83,Ezhou Urban Construction Investment Co Ltd,,China,Industrials,Ezhou Urban Construction Investment Co Ltd,,,
84,Chongqing City Transportation Development & Investment Group Co Ltd,,China,Industrials,Chongqing City Transportation Development & Investment Group Co Ltd,,,
85,Chongqing Water Environment Holding Group Co Ltd,,China,Industrials,Chongqing Water Environment Holding Group Co Ltd,,,
86,China Railway Real Estate Group Corp Ltd,,China,Real Estate,China Railway Construction Group Co Ltd,,,
87,Changchun Railway Traffic Group Co Ltd,,China,Industrials,Changchun Railway Traffic Group Co Ltd,,,
88,Qingdao City Construction Investment (Group) Co Ltd,,China,Real Estate,Qingdao City Construction Investment (Group) Co Ltd,,,
89,Liling Lujiang Investment Holdings Group Co Ltd,,China,Industrials,Liling Lujiang Investment Holdings Group Co Ltd,,,
90,Huzhou Wuxing Industrial Investment Development Group Co Ltd,,China,Industrials,Huzhou Wuxing Industrial Investment Development Group Co Ltd,,,
91,Tohoku Electric Power Co Inc,,Japan,Utilities,Tohoku Electric Power Co Inc,,,
92,Areeya Property pcl,,Thailand,Real Estate,Areeya Property pcl,,,
93,Prinsiri pcl,,Thailand,Industrials,Prinsiri pcl,,,
